trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time,dif_drop_pickup,pickup_hour,pickup_month,pickup_day,weekday,weekend,rush_hour,distance_hour,squared_distance,delta_lat,delta_long,pickup_cluster,drop_cluster,haversine_distance
11,2685,19386,Los Angeles,39.589159042548175,-119.3519437587201,39.58070702508536,-119.33923267120856,7.5,13.99,Completed,Cash,2023-01-01 00:10:00,2023-01-01 00:32:30,00:22:30,0,1,1,6,1,0,0.0,56.25,-0.00845201746281532,0.012711087511533492,13,5,1.4386834652124774
12,1769,54319,Boston,40.37432862818872,-107.8435632936991,40.377110110424994,-107.87886828411702,5.64,11.38,Completed,Card,2023-01-01 00:11:00,2023-01-01 00:27:55,00:16:55,0,1,1,6,1,0,0.0,31.809599999999996,0.0027814822362728364,-0.03530499041791302,14,7,3.006626374566154
13,7949,83961,Boston,38.99690304998711,-111.38773010283748,39.01451831776753,-111.43003134579097,1.6,4.93,Completed,UPI,2023-01-01 00:12:00,2023-01-01 00:16:48,00:04:48,0,1,1,6,1,0,0.0,2.5600000000000005,0.017615267780421107,-0.04230124295348503,17,0,4.146898207102468
14,3433,21112,Los Angeles,40.16073889938309,-104.14123780996758,40.151155465161054,-104.14166114061577,7.13,15.22,Completed,Cash,2023-01-01 00:13:00,2023-01-01 00:34:23,00:21:23,0,1,1,6,1,0,0.0,50.8369,-0.009583434222037113,-0.0004233306481893351,12,3,1.0662364044758186
15,6311,44486,San Francisco,40.78622125928146,-101.21185168532936,40.83300317980395,-101.21260494422496,1.74,4.88,Completed,Cash,2023-01-01 00:14:00,2023-01-01 00:19:13,00:05:13,0,1,1,6,1,0,0.0,3.0276,0.046781920522491305,-0.0007532588955996289,19,17,5.202298507306136
16,6051,76028,Los Angeles,38.52272693011106,-111.36103360098964,38.52474335933591,-111.31870307512295,5.94,14.07,Completed,Cash,2023-01-01 00:15:00,2023-01-01 00:32:49,00:17:49,0,1,1,6,1,0,0.0,35.28360000000001,0.00201642922484524,0.04233052586668862,17,0,3.6892949216584197
17,7420,87010,Los Angeles,40.33664375306437,-76.61809183418887,40.312070015384855,-76.6307148440865,9.4,24.1,No-Show,UPI,2023-01-01 00:16:00,2023-01-01 00:44:12,00:28:12,0,1,1,6,1,0,0.0,88.36000000000001,-0.02457373767951765,-0.01262300989762366,15,15,2.93454376215721
18,2184,83565,Boston,38.89645074496169,-115.98429669307588,38.860638691663794,-116.0285248076544,7.19,19.78,Completed,Card,2023-01-01 00:17:00,2023-01-01 00:38:34,00:21:34,0,1,1,6,1,0,0.0,51.69610000000001,-0.03581205329789583,-0.04422811457853015,4,16,5.52401685926002
19,5555,66686,Seattle,39.45112706817463,-84.04660046987165,39.444792962646986,-84.02128964822164,4.49,13.35,Completed,UPI,2023-01-01 00:18:00,2023-01-01 00:31:28,00:13:28,0,1,1,6,1,0,0.0,20.160100000000003,-0.006334105527642464,0.02531082165000953,16,12,2.2845904413707925
20,4385,55284,Boston,40.531085445062544,-78.32868286287555,40.51050442773467,-78.29286883305338,5.22,13.43,Completed,Wallet,2023-01-01 00:19:00,2023-01-01 00:34:39,00:15:39,0,1,1,6,1,0,0.0,27.248399999999997,-0.020581017327870654,0.03581402982217696,15,1,3.7949342920110487
21,7396,15886,Seattle,40.52355784818817,-102.21212425883596,40.54442233586987,-102.19987992272834,13.13,30.11,Completed,UPI,2023-01-01 00:20:00,2023-01-01 00:59:23,00:39:23,0,1,1,6,1,0,0.0,172.39690000000002,0.020864487681699018,0.012244336107613663,12,17,2.540329552368623
22,9666,24412,Chicago,39.96864221343976,-96.19687303314625,39.98973700768252,-96.22762517427914,6.43,16.21,Completed,Cash,2023-01-01 00:21:00,2023-01-01 00:40:17,00:19:17,0,1,1,6,1,0,0.0,41.344899999999996,0.021094794242763726,-0.030752141132893485,3,2,3.516792819983725
23,3558,83992,New York,38.25005300500109,-77.6871899214083,38.22069674335474,-77.6596028833707,8.1,15.18,Completed,UPI,2023-01-01 00:22:00,2023-01-01 00:46:18,00:24:18,0,1,1,6,1,0,0.0,65.61,-0.02935626164634897,0.02758703803760909,8,15,4.057216962288307
24,8849,70919,San Francisco,37.34621646231124,-114.62424029927452,37.365917846489936,-114.62920024705488,6.27,13.78,Completed,Card,2023-01-01 00:23:00,2023-01-01 00:41:48,00:18:48,0,1,1,6,1,0,0.0,39.31289999999999,0.01970138417869549,-0.004959947780363905,4,11,2.2341281440348677
25,3047,39415,Los Angeles,40.94707823219268,-115.74711693990932,40.93656334309317,-115.7058635083655,5.3,12.22,Completed,Wallet,2023-01-01 00:24:00,2023-01-01 00:39:54,00:15:54,0,1,1,6,1,0,0.0,28.09,-0.010514889099511038,0.04125343154382222,4,11,3.6569816513406344
26,3747,28056,Boston,39.2739499367063,-119.59194774959045,39.23030811926833,-119.57738345391002,9.34,17.28,Completed,Wallet,2023-01-01 00:25:00,2023-01-01 00:53:01,00:28:01,0,1,1,6,1,0,0.0,87.23559999999999,-0.04364181743797246,0.014564295680429495,13,5,5.012171819072876
27,1189,95567,Seattle,37.4424099037103,-79.67258600865028,37.39341935087313,-79.64515757541541,6.77,16.78,Completed,UPI,2023-01-01 00:26:00,2023-01-01 00:46:18,00:20:18,0,1,1,6,1,0,0.0,45.832899999999995,-0.04899055283716791,0.027428433234874205,8,1,5.961781695188927
28,3734,32772,Boston,40.83762789318843,-110.32873667346888,40.85090555281359,-110.31507329322991,5.45,15.63,Completed,UPI,2023-01-01 00:27:00,2023-01-01 00:43:21,00:16:21,0,1,1,6,1,0,0.0,29.7025,0.013277659625160254,0.013663380238966738,1,7,1.8710293238372429
29,4005,51388,San Francisco,38.82906650911731,-98.13299637953024,38.83020842926837,-98.09611634625176,9.32,20.11,Cancelled,Card,2023-01-01 00:28:00,2023-01-01 00:55:57,00:27:57,0,1,1,6,1,0,0.0,86.86240000000001,0.001141920151056297,0.03688003327847866,11,10,3.19715848812629
30,5658,62314,Chicago,40.8490780972331,-107.9889383434135,40.8164827249562,-107.97516579543772,7.76,14.05,Completed,UPI,2023-01-01 00:29:00,2023-01-01 00:52:16,00:23:16,0,1,1,6,1,0,0.0,60.2176,-0.03259537227689435,0.013772547975776206,14,7,3.8051534193744825
31,2899,90316,Boston,38.46072054752384,-73.71883757620657,38.45139469805299,-73.67670463680133,1.5,8.16,Completed,Cash,2023-01-01 00:30:00,2023-01-01 00:34:30,00:04:30,0,1,1,6,1,0,0.0,2.25,-0.009325849470855019,0.04213293940523499,0,6,3.8124699381336113
32,8734,84181,Los Angeles,40.63739006313718,-81.8366048440115,40.63314581246526,-81.81786827469747,6.23,13.16,Completed,UPI,2023-01-01 00:31:00,2023-01-01 00:49:41,00:18:41,0,1,1,6,1,0,0.0,38.812900000000006,-0.004244250671924021,0.01873656931402934,5,8,1.6499736258908424
33,2267,34924,San Francisco,40.41336999449806,-89.12880927453372,40.4622095600837,-89.10010782049406,4.94,12.42,Completed,Wallet,2023-01-01 00:32:00,2023-01-01 00:46:49,00:14:49,0,1,1,6,1,0,0.0,24.403600000000004,0.048839565585637956,0.02870145403966262,18,14,5.949194969423232
34,2528,58221,Los Angeles,38.88503291729904,-77.58797340866188,38.87896130140925,-77.5550509042941,7.47,17.27,Completed,Cash,2023-01-01 00:33:00,2023-01-01 00:55:24,00:22:24,0,1,1,6,1,0,0.0,55.8009,-0.006071615889794657,0.03292250436777522,8,15,2.9286083282439335
35,4556,51381,New York,38.24936856192276,-109.81798204078594,38.24429727270579,-109.76879597805846,5.9,9.32,Completed,Cash,2023-01-01 00:34:00,2023-01-01 00:51:42,00:17:42,0,1,1,6,1,0,0.0,34.81,-0.005071289216964203,0.049186062727471835,1,7,4.332131922362256
36,4890,55741,Boston,39.96194409894871,-108.02754782741891,39.98286351009668,-108.0637948679277,15.66,28.08,Completed,Card,2023-01-01 00:35:00,2023-01-01 01:21:58,00:46:58,0,1,1,6,1,0,0.0,245.2356,0.020919411147964695,-0.03624704050878336,14,7,3.8667106278849017
37,9838,91019,Seattle,40.40166521099008,-82.83943773492271,40.3721336964872,-82.87161170423475,11.02,25.88,Completed,Card,2023-01-01 00:36:00,2023-01-01 01:09:03,00:33:03,0,1,1,6,1,0,0.0,121.4404,-0.02953151450288516,-0.03217396931204064,16,8,4.267159073253712
38,6393,26965,San Francisco,37.17069044138431,-110.5862290742966,37.12391605617657,-110.59179903266345,3.69,8.58,Completed,Cash,2023-01-01 00:37:00,2023-01-01 00:48:04,00:11:04,0,1,1,6,1,0,0.0,13.6161,-0.046774385207740465,-0.005569958366848482,1,0,5.22445117198727
39,9792,45430,Boston,37.89935782638292,-91.62124509037606,37.923252878042085,-91.61590534232164,9.22,22.43,Completed,Cash,2023-01-01 00:38:00,2023-01-01 01:05:39,00:27:39,0,1,1,6,1,0,0.0,85.00840000000001,0.023895051659167166,0.005339748054424831,18,9,2.6979878976013634
40,9433,97272,New York,38.7195922395447,-86.77867434764758,38.70107756016292,-86.73755405357343,11.6,25.12,Completed,Card,2023-01-01 00:39:00,2023-01-01 01:13:48,00:34:48,0,1,1,6,1,0,0.0,134.56,-0.018514679381780752,0.04112029407414752,10,4,4.119260751540309
41,8513,41807,San Francisco,37.83150300239416,-103.87627155043025,37.876095029311294,-103.880322285064,8.09,21.92,Completed,Card,2023-01-01 00:40:00,2023-01-01 01:04:16,00:24:16,0,1,1,6,1,0,0.0,65.4481,0.04459202691713671,-0.004050734633750608,7,3,4.971145100883689
42,3612,25966,Los Angeles,38.08523016829165,-87.06926711145331,38.06207462481823,-87.11348630920081,9.07,21.72,Completed,Wallet,2023-01-01 00:41:00,2023-01-01 01:08:12,00:27:12,0,1,1,6,1,0,0.0,82.26490000000001,-0.023155543473421858,-0.04421919774749483,10,4,4.648862492054487
43,8041,14258,Los Angeles,39.05903088721296,-118.9566781482404,39.03797431345867,-118.9662135665612,10.21,16.31,Completed,Card,2023-01-01 00:42:00,2023-01-01 01:12:37,00:30:37,0,1,1,6,1,0,0.0,104.24410000000002,-0.021056573754293595,-0.00953541832079452,6,5,2.4819599322690706
44,7235,16923,New York,38.53161244253719,-102.0476443442655,38.57340759408085,-102.05160143011824,12.02,27.82,Completed,Wallet,2023-01-01 00:43:00,2023-01-01 01:19:03,00:36:03,0,1,1,6,1,0,0.0,144.4804,0.04179515154365987,-0.003957085852732689,19,17,4.660130385743199
45,6486,35605,Boston,40.73782744845055,-85.37707291044143,40.7490469311683,-85.33048091702199,12.4,24.29,Cancelled,Cash,2023-01-01 00:44:00,2023-01-01 01:21:12,00:37:12,0,1,1,6,1,0,0.0,153.76000000000002,0.011219482717748974,0.046591993419440314,2,12,4.118662108635971
46,8099,44092,San Francisco,40.3674404955061,-95.98780133690786,40.361579051919605,-96.00136870312603,1.99,5.48,No-Show,Wallet,2023-01-01 00:45:00,2023-01-01 00:50:58,00:05:58,0,1,1,6,1,0,0.0,3.9601,-0.005861443586496762,-0.013567366218168786,3,2,1.3213996068242675
47,1775,42868,Los Angeles,37.8328672978881,-87.38825549592006,37.784569358502246,-87.3615288029702,4.49,12.8,Completed,Wallet,2023-01-01 00:46:00,2023-01-01 00:59:28,00:13:28,0,1,1,6,1,0,0.0,20.160100000000003,-0.04829793938585425,0.026726692949864628,10,4,5.861317837913315
48,9226,26799,Los Angeles,40.79287124502156,-94.8000107928104,40.79278383940079,-94.78116261637874,6.86,19.92,No-Show,UPI,2023-01-01 00:47:00,2023-01-01 01:07:34,00:20:34,0,1,1,6,1,0,0.0,47.0596,-8.740562076781089e-05,0.01884817643166059,3,2,1.5867277682205845
49,4152,96979,Boston,37.86779584128591,-104.8947661762159,37.82499439687062,-104.90770574865584,4.62,10.52,Completed,Cash,2023-01-01 00:48:00,2023-01-01 01:01:51,00:13:51,0,1,1,6,1,0,0.0,21.3444,-0.042801444415289325,-0.012939572439947256,7,3,4.893041672552421
50,2585,85111,New York,39.386137967350514,-108.38239884716664,39.41685384955436,-108.36959171329876,12.27,24.77,Cancelled,UPI,2023-01-01 00:49:00,2023-01-01 01:25:48,00:36:48,0,1,1,6,1,0,0.0,150.5529,0.030715882203843137,0.012807133867880793,14,7,3.588344823076843
51,4943,56210,New York,38.22757154340824,-98.8587196396717,38.27170267751815,-98.86929232492352,9.45,15.87,Completed,Card,2023-01-01 00:50:00,2023-01-01 01:18:21,00:28:21,0,1,1,6,1,0,0.0,89.30249999999998,0.044131134109910874,-0.010572685251815983,11,10,4.993253922650109
52,8555,25230,New York,38.13881597699306,-108.34930152039864,38.100162915565534,-108.32522425135528,7.43,20.51,Completed,Wallet,2023-01-01 00:51:00,2023-01-01 01:13:17,00:22:17,0,1,1,6,1,0,0.0,55.204899999999995,-0.03865306142752445,0.02407726904336016,14,7,4.7863775001179425
53,4073,28130,Los Angeles,39.16120326264837,-99.05396616300678,39.17247136826092,-99.02489739300242,8.35,23.61,Completed,UPI,2023-01-01 00:52:00,2023-01-01 01:17:03,00:25:03,0,1,1,6,1,0,0.0,69.7225,0.011268105612550983,0.029068770004357702,11,10,2.801804761914567
54,2021,30875,Los Angeles,40.787632533494445,-103.77390219216964,40.83256685077093,-103.76127370199872,3.98,10.12,Completed,Cash,2023-01-01 00:53:00,2023-01-01 01:04:56,00:11:56,0,1,1,6,1,0,0.0,15.8404,0.04493431727648556,0.012628490170925488,12,3,5.108257891496088
55,4843,72908,Los Angeles,38.67557371075546,-114.06588112729598,38.699205754524606,-114.02623127491334,10.94,28.99,Completed,Card,2023-01-01 00:54:00,2023-01-01 01:26:49,00:32:49,0,1,1,6,1,0,0.0,119.68359999999998,0.023632043769147515,0.03964985238263807,4,11,4.329952666213946
56,8989,90163,Seattle,38.12535094448755,-87.3795433390487,38.11441894110635,-87.40172313951769,8.24,19.03,Completed,UPI,2023-01-01 00:55:00,2023-01-01 01:19:43,00:24:43,0,1,1,6,1,0,0.0,67.8976,-0.010932003381199706,-0.022179800468990152,10,4,2.289608973861431
57,7873,34041,Seattle,38.00121635350783,-112.10855743212142,38.042950681432266,-112.1216547748471,6.74,15.99,Completed,Wallet,2023-01-01 00:56:00,2023-01-01 01:16:13,00:20:13,0,1,1,6,1,0,0.0,45.427600000000005,0.041734327924437764,-0.01309734272568619,17,0,4.7803600823750365
58,6675,14443,Los Angeles,38.236320965845486,-73.6260429249372,38.237490651797415,-73.59338628805943,10.95,16.44,Completed,UPI,2023-01-01 00:57:00,2023-01-01 01:29:51,00:32:51,0,1,1,6,1,0,0.0,119.90249999999999,0.0011696859519290115,0.03265663687776055,0,6,2.8551615919433013
59,1161,19480,Los Angeles,38.77862959905039,-76.39450098586468,38.76211271014069,-76.43854835814948,7.75,17.34,Completed,Cash,2023-01-01 00:58:00,2023-01-01 01:21:15,00:23:15,0,1,1,6,1,0,0.0,60.0625,-0.016516888909698935,-0.04404737228479405,15,15,4.237364946629569
60,5297,64012,Los Angeles,40.4925563404302,-74.36136261684472,40.45923530350589,-74.36454704139146,9.34,27.04,Cancelled,Wallet,2023-01-01 00:59:00,2023-01-01 01:27:01,00:28:01,0,1,1,6,1,0,0.0,87.23559999999999,-0.03332103692430621,-0.00318442454674539,0,6,3.7149077760229203
61,1995,71483,Chicago,38.25908329527197,-93.4971337168045,38.21846333575303,-93.50179371260415,0.37,5.22,Completed,Wallet,2023-01-01 01:00:00,2023-01-01 01:01:06,00:01:06,1,1,1,6,1,0,0.37,0.1369,-0.04061995951894204,-0.004659995799656258,9,9,4.53503260151055
62,8629,14170,Seattle,38.0896766161392,-116.38513114169048,38.10200468119588,-116.37717026987843,4.4,8.95,Completed,Card,2023-01-01 01:01:00,2023-01-01 01:14:12,00:13:12,1,1,1,6,1,0,4.4,19.360000000000003,0.012328065056678383,0.007960871812045411,4,16,1.5376774140509144
63,2016,98129,San Francisco,39.29682234893325,-74.35211840149758,39.25434058531888,-74.36027940268352,3.5,10.02,No-Show,Cash,2023-01-01 01:02:00,2023-01-01 01:12:30,00:10:30,1,1,1,6,1,0,3.5,12.25,-0.04248176361436862,-0.008161001185939654,0,6,4.775703923108005
64,8869,42805,New York,39.364687257381085,-112.82704012847584,39.357501262314905,-112.8438283733138,3.52,10.76,Completed,Cash,2023-01-01 01:03:00,2023-01-01 01:13:33,00:10:33,1,1,1,6,1,0,3.52,12.3904,-0.0071859950661803396,-0.01678824483795438,17,0,1.6497401285032345
65,7439,51725,San Francisco,38.782644215214674,-89.53814434665088,38.797919263541445,-89.5124957677374,7.03,18.65,No-Show,Card,2023-01-01 01:04:00,2023-01-01 01:25:05,00:21:05,1,1,1,6,1,0,7.03,49.4209,0.015275048326770957,0.025648578913475717,18,14,2.797591522292348
66,8892,54837,Seattle,37.76242315369175,-121.7853995199472,37.75228028974992,-121.80566390269304,12.71,31.17,Completed,Card,2023-01-01 01:05:00,2023-01-01 01:43:07,00:38:07,1,1,1,6,1,0,12.71,161.54410000000001,-0.010142863941830171,-0.020264382745835974,13,18,2.108479684264775
67,7863,53424,Boston,37.76436628297408,-82.28732719654677,37.80250319651551,-82.29599046902851,4.17,12.04,Cancelled,UPI,2023-01-01 01:06:00,2023-01-01 01:18:30,00:12:30,1,1,1,6,1,0,4.17,17.3889,0.038136913541428896,-0.008663272481740592,16,19,4.308432076640984
68,8916,14806,New York,39.08074054860475,-96.17412380061904,39.106736367314525,-96.19538668570873,9.15,14.33,Completed,Wallet,2023-01-01 01:07:00,2023-01-01 01:34:27,00:27:27,1,1,1,6,1,0,9.15,83.72250000000001,0.025995818709773744,-0.021262885089683436,3,2,3.4238531514641344
69,9529,47611,Seattle,38.13959576268044,-108.73812843926292,38.162148734802,-108.73039016934774,12.07,18.71,Completed,Cash,2023-01-01 01:08:00,2023-01-01 01:44:12,00:36:12,1,1,1,6,1,0,12.07,145.6849,0.022552972121559378,0.007738269915179785,1,7,2.597459950577253
70,1878,26662,New York,37.612155594152426,-116.2410777175782,37.57610821725664,-116.2345704654327,13.15,20.62,Cancelled,Wallet,2023-01-01 01:09:00,2023-01-01 01:48:27,00:39:27,1,1,1,6,1,0,13.15,172.9225,-0.03604737689578741,0.006507252145496523,4,16,4.0490805803668
71,5887,59605,Los Angeles,37.10570358627135,-84.41901364234052,37.14980130843726,-84.42303398413137,5.18,11.08,Completed,Wallet,2023-01-01 01:10:00,2023-01-01 01:25:32,00:15:32,1,1,1,6,1,0,5.18,26.832399999999996,0.04409772216590824,-0.004020341790848647,16,12,4.916379774500191
72,5859,96623,Los Angeles,37.537149200492806,-120.43933514716257,37.495533122999575,-120.41703273921866,11.33,28.91,Completed,Cash,2023-01-01 01:11:00,2023-01-01 01:44:59,00:33:59,1,1,1,6,1,0,11.33,128.3689,-0.04161607749323082,0.022302407943911362,13,18,5.028208872436865
73,7331,56128,Boston,40.32462468961208,-89.80395359469333,40.325552451674376,-89.8330408439046,10.69,29.77,No-Show,Cash,2023-01-01 01:12:00,2023-01-01 01:44:04,00:32:04,1,1,1,6,1,0,10.69,114.27609999999999,0.000927762062296722,-0.029087249211272592,18,14,2.4679805659409206
74,9571,30848,San Francisco,37.62331915006204,-76.49347813721766,37.599088561019705,-76.51832056754942,10.31,14.94,Completed,Wallet,2023-01-01 01:13:00,2023-01-01 01:43:55,00:30:55,1,1,1,6,1,0,10.31,106.29610000000001,-0.02423058904233244,-0.024842430331759147,8,15,3.4709948763827136
75,9684,59452,San Francisco,37.01083243668278,-100.19835698309798,37.01647466548849,-100.17083614362204,1.99,5.31,Cancelled,UPI,2023-01-01 01:14:00,2023-01-01 01:19:58,00:05:58,1,1,1,6,1,0,1.99,3.9601,0.005642228805704974,0.027520839475940306,19,17,2.522784594277718
76,8208,16042,San Francisco,38.56544618404243,-111.1760278727075,38.52865396091681,-111.12617445707654,6.04,9.51,Cancelled,UPI,2023-01-01 01:15:00,2023-01-01 01:33:07,00:18:07,1,1,1,6,1,0,6.04,36.4816,-0.03679222312561592,0.049853415630948916,17,0,5.961025656323738
77,6276,80602,Boston,40.71262546286041,-118.90920922421694,40.74047898480135,-118.91965354796072,8.19,23.71,Completed,Cash,2023-01-01 01:16:00,2023-01-01 01:40:34,00:24:34,1,1,1,6,1,0,8.19,67.0761,0.027853521940940595,-0.010444323743783457,6,5,3.2197922756920647
78,3062,76864,Chicago,39.086098835055736,-109.21021329237789,39.11231856485674,-109.16025851835415,10.2,15.66,Cancelled,Card,2023-01-01 01:17:00,2023-01-01 01:47:36,00:30:36,1,1,1,6,1,0,10.2,104.03999999999999,0.02621972980100651,0.04995477402373183,1,7,5.204119081328863
79,1064,81929,San Francisco,37.041144987899,-96.1221022208294,37.01046137522663,-96.09178040872928,7.66,17.76,Cancelled,Cash,2023-01-01 01:18:00,2023-01-01 01:40:58,00:22:58,1,1,1,6,1,0,7.66,58.6756,-0.03068361267236952,0.03032181210012652,3,2,4.345864628592654
80,9006,69323,New York,39.83709507230274,-78.30242448363109,39.83811751927752,-78.31378650315307,8.41,16.51,Completed,Card,2023-01-01 01:19:00,2023-01-01 01:44:13,00:25:13,1,1,1,6,1,0,8.41,70.7281,0.0010224469747797116,-0.011362019521982347,15,1,0.9767567349054455
81,3568,89297,New York,38.602779524747454,-87.75601187758768,38.59870961254024,-87.77208153626539,8.77,22.24,Completed,Card,2023-01-01 01:20:00,2023-01-01 01:46:18,00:26:18,1,1,1,6,1,0,8.77,76.9129,-0.004069912207214088,-0.01606965867770782,10,4,1.4679564370895364
82,6463,24182,Los Angeles,40.07498001104253,-87.19115982900482,40.0435801229324,-87.2241590330099,5.18,10.83,Completed,Card,2023-01-01 01:21:00,2023-01-01 01:36:32,00:15:32,1,1,1,6,1,0,5.18,26.832399999999996,-0.03139988811012984,-0.03299920400507972,2,4,4.480843434837589
83,3027,24394,Seattle,39.3873802084272,-99.28709475948143,39.42009455529286,-99.26292122185966,4.6,8.52,Cancelled,UPI,2023-01-01 01:22:00,2023-01-01 01:35:48,00:13:48,1,1,1,6,1,0,4.6,21.159999999999997,0.032714346865660104,0.02417353762177754,11,10,4.188850901970885
84,3695,66540,Los Angeles,37.55786070347717,-78.25094149753781,37.58839881266751,-78.25979698307611,9.18,21.84,Cancelled,UPI,2023-01-01 01:23:00,2023-01-01 01:50:32,00:27:32,1,1,1,6,1,0,9.18,84.27239999999999,0.030538109190345608,-0.008855485538305174,8,1,3.4842135888320804
85,6258,23883,San Francisco,38.88753151395463,-79.64735847042812,38.93584579298529,-79.66895836175006,4.37,10.57,No-Show,Wallet,2023-01-01 01:24:00,2023-01-01 01:37:06,00:13:06,1,1,1,6,1,0,4.37,19.0969,0.04831427903066299,-0.021599891321940845,5,1,5.688086756243214
86,6618,27941,San Francisco,39.22088540661338,-109.78583378107432,39.172639599782656,-109.742714077547,1.82,7.01,Completed,Wallet,2023-01-01 01:25:00,2023-01-01 01:30:27,00:05:27,1,1,1,6,1,0,1.82,3.3124000000000002,-0.048245806830720994,0.043119703527310094,1,7,6.525870967114204
87,7736,32360,Los Angeles,39.00165534930088,-96.96419372715482,38.96797885927067,-97.01125187206924,7.29,18.83,Cancelled,Wallet,2023-01-01 01:26:00,2023-01-01 01:47:52,00:21:52,1,1,1,6,1,0,7.29,53.1441,-0.033676490030210005,-0.04705814491441629,3,2,5.528659718567787
88,1391,66681,Seattle,40.15058248827247,-112.70450280008718,40.145818246204094,-112.68748943312872,6.97,19.52,Completed,Card,2023-01-01 01:27:00,2023-01-01 01:47:54,00:20:54,1,1,1,6,1,0,6.97,48.5809,-0.004764242068375779,0.01701336695846578,17,0,1.540036922626049
89,6892,74048,New York,40.39847125431545,-99.22765889905496,40.349426224845566,-99.27049274979149,2.96,4.97,Completed,UPI,2023-01-01 01:28:00,2023-01-01 01:36:52,00:08:52,1,1,1,6,1,0,2.96,8.7616,-0.049045029469887425,-0.042833850736528234,11,10,6.550388848460057
90,4561,66271,Seattle,39.66655337985083,-77.30825046296927,39.64375951693588,-77.33222471212976,10.48,25.39,Completed,Wallet,2023-01-01 01:29:00,2023-01-01 02:00:26,00:31:26,1,1,1,6,1,0,10.48,109.83040000000001,-0.022793862914952,-0.023974249160488625,15,15,3.261347302217121
91,7184,18720,Boston,37.14930135579775,-88.82434249224613,37.14763940897191,-88.80997982925801,4.27,13.48,Completed,Card,2023-01-01 01:30:00,2023-01-01 01:42:48,00:12:48,1,1,1,6,1,0,4.27,18.232899999999997,-0.0016619468258411985,0.014362662988119723,10,4,1.2863141694793656
